




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (312)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
hydrogen peroxide catabolic process (GO:0042744)	14	4	.20	+	20.39	9.40E-05	5.56E-03
IMP metabolic process (GO:0046040)	11	3	.15	+	19.46	8.50E-04	3.46E-02
tyrosine metabolic process (GO:0006570)	11	3	.15	+	19.46	8.50E-04	3.45E-02
chaperone-mediated protein complex assembly (GO:0051131)	11	3	.15	+	19.46	8.50E-04	3.44E-02
nucleobase metabolic process (GO:0009112)	37	10	.52	+	19.28	7.26E-10	1.07E-07
ribonucleoside diphosphate metabolic process (GO:0009185)	52	14	.73	+	19.21	2.82E-13	6.87E-11
arginine metabolic process (GO:0006525)	15	4	.21	+	19.03	1.18E-04	6.86E-03
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	15	4	.21	+	19.03	1.18E-04	6.83E-03
response to type I interferon (GO:0034340)	15	4	.21	+	19.03	1.18E-04	6.81E-03
alditol metabolic process (GO:0019400)	19	5	.27	+	18.78	1.67E-05	1.26E-03
glutamate metabolic process (GO:0006536)	23	6	.32	+	18.61	2.41E-06	2.15E-04
nicotinamide nucleotide metabolic process (GO:0046496)	96	25	1.35	+	18.58	1.98E-22	1.39E-19
carbohydrate catabolic process (GO:0016052)	70	18	.98	+	18.35	2.10E-16	7.67E-14
nucleoside diphosphate phosphorylation (GO:0006165)	51	13	.71	+	18.19	3.66E-12	8.26E-10
cellular aldehyde metabolic process (GO:0006081)	55	14	.77	+	18.16	5.42E-13	1.28E-10
pyridine nucleotide metabolic process (GO:0019362)	99	25	1.39	+	18.02	3.78E-22	2.53E-19
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	16	4	.22	+	17.84	1.46E-04	8.02E-03
glycerol metabolic process (GO:0006071)	16	4	.22	+	17.84	1.46E-04	7.99E-03
dicarboxylic acid metabolic process (GO:0043648)	84	21	1.18	+	17.84	1.02E-18	5.24E-16
methionine biosynthetic process (GO:0009086)	12	3	.17	+	17.84	1.05E-03	4.09E-02
tetrahydrofolate metabolic process (GO:0046653)	20	5	.28	+	17.84	2.07E-05	1.54E-03
Arp2/3 complex-mediated actin nucleation (GO:0034314)	16	4	.22	+	17.84	1.46E-04	7.97E-03
nucleotide phosphorylation (GO:0046939)	53	13	.74	+	17.50	5.55E-12	1.24E-09
pyridine-containing compound metabolic process (GO:0072524)	104	25	1.46	+	17.15	1.06E-21	6.81E-19
folic acid-containing compound metabolic process (GO:0006760)	25	6	.35	+	17.12	3.66E-06	3.21E-04
NADH metabolic process (GO:0006734)	21	5	.29	+	16.99	2.53E-05	1.82E-03
monosaccharide catabolic process (GO:0046365)	21	5	.29	+	16.99	2.53E-05	1.81E-03
glutamine family amino acid metabolic process (GO:0009064)	55	13	.77	+	16.87	8.31E-12	1.80E-09
hexose catabolic process (GO:0019320)	17	4	.24	+	16.79	1.78E-04	9.53E-03
methionine metabolic process (GO:0006555)	17	4	.24	+	16.79	1.78E-04	9.50E-03
nicotinamide nucleotide biosynthetic process (GO:0019359)	13	3	.18	+	16.47	1.28E-03	4.76E-02
regulation of metallopeptidase activity (GO:1905048)	13	3	.18	+	16.47	1.28E-03	4.75E-02
positive regulation of interferon-alpha production (GO:0032727)	22	5	.31	+	16.22	3.07E-05	2.17E-03
alpha-amino acid biosynthetic process (GO:1901607)	58	13	.81	+	15.99	1.48E-11	3.00E-09
cellular detoxification (GO:1990748)	18	4	.25	+	15.86	2.15E-04	1.12E-02
regulation of telomerase RNA localization to Cajal body (GO:1904872)	18	4	.25	+	15.86	2.15E-04	1.12E-02
NAD metabolic process (GO:0019674)	36	8	.50	+	15.86	1.40E-07	1.46E-05
oxidoreduction coenzyme metabolic process (GO:0006733)	115	25	1.61	+	15.51	8.85E-21	5.04E-18
cellular amino acid biosynthetic process (GO:0008652)	60	13	.84	+	15.46	2.15E-11	4.18E-09
tRNA aminoacylation for protein translation (GO:0006418)	44	9	.62	+	14.59	4.26E-08	4.85E-06
fatty acid beta-oxidation (GO:0006635)	49	10	.69	+	14.56	7.60E-09	9.58E-07
nucleoside diphosphate metabolic process (GO:0009132)	69	14	.97	+	14.48	7.79E-12	1.71E-09
regulation of tumor necrosis factor secretion (GO:1904467)	20	4	.28	+	14.27	3.06E-04	1.48E-02
fatty acid oxidation (GO:0019395)	66	13	.92	+	14.05	6.10E-11	1.12E-08
lipid oxidation (GO:0034440)	67	13	.94	+	13.84	7.20E-11	1.26E-08
pteridine-containing compound metabolic process (GO:0042558)	31	6	.43	+	13.81	1.08E-05	8.62E-04
acetyl-CoA metabolic process (GO:0006084)	26	5	.36	+	13.72	6.18E-05	3.91E-03
tRNA aminoacylation (GO:0043039)	47	9	.66	+	13.66	7.03E-08	7.83E-06
tricarboxylic acid metabolic process (GO:0072350)	37	7	.52	+	13.50	2.23E-06	2.01E-04
'de novo' protein folding (GO:0006458)	37	7	.52	+	13.50	2.23E-06	2.00E-04
serine family amino acid metabolic process (GO:0009069)	37	7	.52	+	13.50	2.23E-06	1.99E-04
fatty acid catabolic process (GO:0009062)	69	13	.97	+	13.44	9.94E-11	1.66E-08
sulfur amino acid metabolic process (GO:0000096)	32	6	.45	+	13.38	1.26E-05	9.86E-04
amino acid activation (GO:0043038)	48	9	.67	+	13.38	8.24E-08	8.99E-06
carbohydrate biosynthetic process (GO:0016051)	91	17	1.28	+	13.33	1.41E-13	3.54E-11
regulation of interferon-alpha production (GO:0032647)	27	5	.38	+	13.21	7.24E-05	4.52E-03
aspartate family amino acid biosynthetic process (GO:0009067)	22	4	.31	+	12.97	4.21E-04	1.96E-02
glucose metabolic process (GO:0006006)	90	16	1.26	+	12.68	1.45E-12	3.38E-10
cofactor catabolic process (GO:0051187)	41	7	.57	+	12.18	4.08E-06	3.56E-04
coenzyme metabolic process (GO:0006732)	254	43	3.56	+	12.08	3.99E-31	7.66E-28
cellular response to interleukin-4 (GO:0071353)	24	4	.34	+	11.89	5.64E-04	2.48E-02
monocarboxylic acid catabolic process (GO:0072329)	84	14	1.18	+	11.89	7.98E-11	1.36E-08
aspartate family amino acid metabolic process (GO:0009066)	42	7	.59	+	11.89	4.70E-06	4.09E-04
purine-containing compound catabolic process (GO:0072523)	43	7	.60	+	11.62	5.41E-06	4.57E-04
positive regulation of interleukin-6 secretion (GO:2000778)	25	4	.35	+	11.42	6.47E-04	2.83E-02
aromatic amino acid family metabolic process (GO:0009072)	25	4	.35	+	11.42	6.47E-04	2.82E-02
acyl-CoA metabolic process (GO:0006637)	69	11	.97	+	11.38	1.32E-08	1.60E-06
thioester metabolic process (GO:0035383)	69	11	.97	+	11.38	1.32E-08	1.59E-06
binding of sperm to zona pellucida (GO:0007339)	38	6	.53	+	11.27	3.01E-05	2.14E-03
hexose metabolic process (GO:0019318)	121	19	1.70	+	11.20	8.20E-14	2.25E-11
protein homotetramerization (GO:0051289)	83	13	1.16	+	11.18	7.56E-10	1.11E-07
cellular amino acid metabolic process (GO:0006520)	247	38	3.46	+	10.98	3.12E-26	2.66E-23
cellular response to interferon-beta (GO:0035458)	39	6	.55	+	10.98	3.44E-05	2.34E-03
cellular carbohydrate biosynthetic process (GO:0034637)	39	6	.55	+	10.98	3.44E-05	2.33E-03
glutathione metabolic process (GO:0006749)	52	8	.73	+	10.98	1.67E-06	1.55E-04
response to interleukin-4 (GO:0070670)	26	4	.36	+	10.98	7.39E-04	3.12E-02
protein localization to lysosome (GO:0061462)	26	4	.36	+	10.98	7.39E-04	3.11E-02
response to interferon-beta (GO:0035456)	46	7	.64	+	10.86	8.05E-06	6.62E-04
citrate metabolic process (GO:0006101)	33	5	.46	+	10.81	1.69E-04	9.06E-03
cofactor metabolic process (GO:0051186)	394	59	5.52	+	10.68	5.18E-40	1.59E-36
actin nucleation (GO:0045010)	27	4	.38	+	10.57	8.39E-04	3.44E-02
hydrogen peroxide metabolic process (GO:0042743)	27	4	.38	+	10.57	8.39E-04	3.43E-02
alpha-amino acid metabolic process (GO:1901605)	176	26	2.47	+	10.54	7.20E-18	3.25E-15
monosaccharide metabolic process (GO:0005996)	151	22	2.12	+	10.40	3.43E-15	1.12E-12
alpha-amino acid catabolic process (GO:1901606)	69	10	.97	+	10.34	1.37E-07	1.45E-05
organic acid catabolic process (GO:0016054)	173	25	2.42	+	10.31	5.04E-17	1.99E-14
carboxylic acid catabolic process (GO:0046395)	173	25	2.42	+	10.31	5.04E-17	1.94E-14
detoxification (GO:0098754)	28	4	.39	+	10.19	9.48E-04	3.76E-02
sperm-egg recognition (GO:0035036)	42	6	.59	+	10.19	5.00E-05	3.31E-03
pyrimidine-containing compound biosynthetic process (GO:0072528)	28	4	.39	+	10.19	9.48E-04	3.75E-02
drug catabolic process (GO:0042737)	85	12	1.19	+	10.07	9.83E-09	1.22E-06
small molecule catabolic process (GO:0044282)	241	34	3.38	+	10.07	1.80E-22	1.32E-19
positive regulation of response to cytokine stimulus (GO:0060760)	43	6	.60	+	9.96	5.63E-05	3.67E-03
tricarboxylic acid cycle (GO:0006099)	29	4	.41	+	9.84	1.07E-03	4.14E-02
tumor necrosis factor-mediated signaling pathway (GO:0033209)	30	4	.42	+	9.51	1.20E-03	4.53E-02
cellular modified amino acid biosynthetic process (GO:0042398)	30	4	.42	+	9.51	1.20E-03	4.52E-02
establishment of protein localization to vacuole (GO:0072666)	30	4	.42	+	9.51	1.20E-03	4.51E-02
protein localization to vacuole (GO:0072665)	38	5	.53	+	9.39	3.06E-04	1.49E-02
positive regulation of telomere maintenance via telomerase (GO:0032212)	31	4	.43	+	9.21	1.34E-03	4.92E-02
carboxylic acid biosynthetic process (GO:0046394)	218	28	3.06	+	9.16	1.02E-17	4.46E-15
spindle localization (GO:0051653)	39	5	.55	+	9.15	3.41E-04	1.64E-02
platelet aggregation (GO:0070527)	39	5	.55	+	9.15	3.41E-04	1.64E-02
organic acid biosynthetic process (GO:0016053)	219	28	3.07	+	9.12	1.13E-17	4.83E-15
regulation of coenzyme metabolic process (GO:0051196)	47	6	.66	+	9.11	8.83E-05	5.30E-03
sulfur compound biosynthetic process (GO:0044272)	63	8	.88	+	9.06	6.08E-06	5.08E-04
cellular amino acid catabolic process (GO:0009063)	79	10	1.11	+	9.03	4.27E-07	4.29E-05
pyrimidine-containing compound metabolic process (GO:0072527)	48	6	.67	+	8.92	9.82E-05	5.78E-03
carboxylic acid metabolic process (GO:0019752)	745	93	10.44	+	8.91	6.51E-58	3.33E-54
protein tetramerization (GO:0051262)	140	17	1.96	+	8.66	6.80E-11	1.20E-08
organic acid metabolic process (GO:0006082)	797	96	11.17	+	8.59	1.21E-58	9.27E-55
oxoacid metabolic process (GO:0043436)	784	94	10.99	+	8.56	3.64E-57	1.40E-53
cellular modified amino acid metabolic process (GO:0006575)	142	17	1.99	+	8.54	8.32E-11	1.41E-08
monocarboxylic acid metabolic process (GO:0032787)	435	52	6.10	+	8.53	6.68E-31	1.14E-27
vesicle cytoskeletal trafficking (GO:0099518)	42	5	.59	+	8.49	4.66E-04	2.12E-02
chaperone-mediated protein folding (GO:0061077)	59	7	.83	+	8.47	3.49E-05	2.35E-03
small molecule biosynthetic process (GO:0044283)	350	40	4.91	+	8.15	3.32E-23	2.55E-20
generation of precursor metabolites and energy (GO:0006091)	242	27	3.39	+	7.96	9.67E-16	3.30E-13
drug metabolic process (GO:0017144)	440	49	6.17	+	7.95	7.47E-28	8.21E-25
cellular carbohydrate metabolic process (GO:0044262)	126	14	1.77	+	7.93	9.47E-09	1.18E-06
regulation of carbohydrate catabolic process (GO:0043470)	46	5	.64	+	7.76	6.82E-04	2.92E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	184	20	2.58	+	7.76	8.72E-12	1.86E-09
purine nucleoside monophosphate metabolic process (GO:0009126)	185	20	2.59	+	7.71	9.54E-12	2.01E-09
cellular lipid catabolic process (GO:0044242)	149	16	2.09	+	7.66	1.29E-09	1.78E-07
cell-cell recognition (GO:0009988)	56	6	.78	+	7.64	2.13E-04	1.11E-02
ribonucleoside monophosphate metabolic process (GO:0009161)	187	20	2.62	+	7.63	1.14E-11	2.37E-09
cellular response to interferon-gamma (GO:0071346)	94	10	1.32	+	7.59	1.83E-06	1.68E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	480	51	6.73	+	7.58	4.16E-28	4.92E-25
sulfur compound metabolic process (GO:0006790)	245	26	3.43	+	7.57	9.94E-15	3.12E-12
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	57	6	.80	+	7.51	2.33E-04	1.20E-02
purine nucleoside monophosphate biosynthetic process (GO:0009127)	57	6	.80	+	7.51	2.33E-04	1.19E-02
glycogen metabolic process (GO:0005977)	48	5	.67	+	7.43	8.14E-04	3.39E-02
positive regulation of type I interferon production (GO:0032481)	48	5	.67	+	7.43	8.14E-04	3.38E-02
cellular glucan metabolic process (GO:0006073)	48	5	.67	+	7.43	8.14E-04	3.37E-02
glucan metabolic process (GO:0044042)	48	5	.67	+	7.43	8.14E-04	3.37E-02
neurotransmitter metabolic process (GO:0042133)	77	8	1.08	+	7.41	2.33E-05	1.69E-03
myeloid cell development (GO:0061515)	58	6	.81	+	7.38	2.54E-04	1.29E-02
nucleoside monophosphate metabolic process (GO:0009123)	195	20	2.73	+	7.32	2.29E-11	4.39E-09
energy reserve metabolic process (GO:0006112)	59	6	.83	+	7.26	2.77E-04	1.39E-02
ATP metabolic process (GO:0046034)	158	16	2.21	+	7.23	2.81E-09	3.75E-07
regulation of cofactor metabolic process (GO:0051193)	60	6	.84	+	7.14	3.01E-04	1.47E-02
ribonucleoside monophosphate biosynthetic process (GO:0009156)	60	6	.84	+	7.14	3.01E-04	1.47E-02
nucleotide metabolic process (GO:0009117)	404	40	5.66	+	7.06	4.03E-21	2.48E-18
nucleotide biosynthetic process (GO:0009165)	163	16	2.28	+	7.00	4.24E-09	5.57E-07
ribose phosphate metabolic process (GO:0019693)	298	29	4.18	+	6.94	2.16E-15	7.20E-13
nucleoside phosphate metabolic process (GO:0006753)	413	40	5.79	+	6.91	8.38E-21	4.96E-18
nucleoside triphosphate metabolic process (GO:0009141)	208	20	2.92	+	6.86	6.64E-11	1.19E-08
ribonucleoside triphosphate metabolic process (GO:0009199)	188	18	2.63	+	6.83	6.49E-10	9.77E-08
response to interferon-gamma (GO:0034341)	115	11	1.61	+	6.83	1.46E-06	1.36E-04
purine-containing compound metabolic process (GO:0072521)	335	32	4.69	+	6.82	1.16E-16	4.35E-14
nucleoside phosphate biosynthetic process (GO:1901293)	169	16	2.37	+	6.76	6.82E-09	8.66E-07
homotypic cell-cell adhesion (GO:0034109)	53	5	.74	+	6.73	1.23E-03	4.59E-02
triglyceride metabolic process (GO:0006641)	64	6	.90	+	6.69	4.15E-04	1.94E-02
purine nucleoside triphosphate metabolic process (GO:0009144)	192	18	2.69	+	6.69	8.86E-10	1.27E-07
protein folding (GO:0006457)	151	14	2.12	+	6.62	7.70E-08	8.46E-06
nucleoside monophosphate biosynthetic process (GO:0009124)	65	6	.91	+	6.59	4.48E-04	2.06E-02
aerobic respiration (GO:0009060)	65	6	.91	+	6.59	4.48E-04	2.05E-02
lipid modification (GO:0030258)	152	14	2.13	+	6.57	8.31E-08	8.99E-06
fatty acid metabolic process (GO:0006631)	294	27	4.12	+	6.55	7.53E-14	2.10E-11
ribose phosphate biosynthetic process (GO:0046390)	120	11	1.68	+	6.54	2.15E-06	1.95E-04
carbohydrate metabolic process (GO:0005975)	386	35	5.41	+	6.47	1.76E-17	7.13E-15
purine nucleotide metabolic process (GO:0006163)	292	26	4.09	+	6.35	4.29E-13	1.03E-10
coenzyme biosynthetic process (GO:0009108)	90	8	1.26	+	6.34	6.52E-05	4.11E-03
positive regulation of DNA biosynthetic process (GO:2000573)	68	6	.95	+	6.30	5.59E-04	2.47E-02
purine ribonucleoside triphosphate metabolic process (GO:0009205)	184	16	2.58	+	6.20	2.07E-08	2.45E-06
reactive oxygen species metabolic process (GO:0072593)	93	8	1.30	+	6.14	8.08E-05	4.97E-03
small molecule metabolic process (GO:0044281)	1481	127	20.76	+	6.12	9.83E-64	1.51E-59
isoprenoid metabolic process (GO:0006720)	70	6	.98	+	6.12	6.45E-04	2.82E-02
positive regulation of lipid biosynthetic process (GO:0046889)	83	7	1.16	+	6.02	2.52E-04	1.29E-02
purine nucleotide biosynthetic process (GO:0006164)	119	10	1.67	+	6.00	1.27E-05	9.86E-04
monocarboxylic acid biosynthetic process (GO:0072330)	131	11	1.84	+	5.99	4.72E-06	4.07E-04
ribonucleotide metabolic process (GO:0009259)	287	24	4.02	+	5.97	1.20E-11	2.46E-09
response to nutrient (GO:0007584)	84	7	1.18	+	5.95	2.70E-04	1.37E-02
amide biosynthetic process (GO:0043604)	388	32	5.44	+	5.88	5.44E-15	1.74E-12
positive regulation of actin filament polymerization (GO:0030838)	74	6	1.04	+	5.79	8.47E-04	3.45E-02
purine-containing compound biosynthetic process (GO:0072522)	124	10	1.74	+	5.75	1.77E-05	1.33E-03
translation (GO:0006412)	303	24	4.25	+	5.65	3.44E-11	6.45E-09
purine ribonucleotide metabolic process (GO:0009150)	279	22	3.91	+	5.63	2.51E-10	3.94E-08
oxidation-reduction process (GO:0055114)	837	65	11.73	+	5.54	1.53E-28	1.96E-25
peptide biosynthetic process (GO:0043043)	322	25	4.51	+	5.54	1.97E-11	3.89E-09
ribonucleotide biosynthetic process (GO:0009260)	117	9	1.64	+	5.49	6.56E-05	4.12E-03
cellular amide metabolic process (GO:0043603)	562	43	7.88	+	5.46	1.04E-18	5.17E-16
peptide metabolic process (GO:0006518)	432	33	6.05	+	5.45	1.53E-14	4.62E-12
polyol metabolic process (GO:0019751)	81	6	1.14	+	5.29	1.31E-03	4.84E-02
lipid catabolic process (GO:0016042)	231	17	3.24	+	5.25	7.30E-08	8.08E-06
defense response to virus (GO:0051607)	156	11	2.19	+	5.03	2.20E-05	1.62E-03
regulation of response to cytokine stimulus (GO:0060759)	100	7	1.40	+	4.99	7.22E-04	3.07E-02
positive regulation of protein polymerization (GO:0032273)	101	7	1.42	+	4.95	7.63E-04	3.21E-02
organophosphate biosynthetic process (GO:0090407)	332	23	4.65	+	4.94	1.04E-09	1.48E-07
energy derivation by oxidation of organic compounds (GO:0015980)	191	13	2.68	+	4.86	5.70E-06	4.79E-04
myeloid cell homeostasis (GO:0002262)	118	8	1.65	+	4.84	3.73E-04	1.77E-02
cofactor biosynthetic process (GO:0051188)	149	10	2.09	+	4.79	7.65E-05	4.73E-03
organophosphate metabolic process (GO:0019637)	719	48	10.08	+	4.76	1.51E-18	7.26E-16
regulation of DNA biosynthetic process (GO:2000278)	107	7	1.50	+	4.67	1.05E-03	4.11E-02
cellular response to toxic substance (GO:0097237)	107	7	1.50	+	4.67	1.05E-03	4.10E-02
purine ribonucleotide biosynthetic process (GO:0009152)	110	7	1.54	+	4.54	1.22E-03	4.58E-02
protein homooligomerization (GO:0051260)	330	21	4.62	+	4.54	2.26E-08	2.66E-06
aromatic compound catabolic process (GO:0019439)	271	17	3.80	+	4.48	6.11E-07	5.91E-05
symbiont process (GO:0044403)	208	13	2.92	+	4.46	1.35E-05	1.04E-03
