




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
GO biological process complete	Mus musculus - REFLIST (22262)	upload_1 (521)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
L-methionine biosynthetic process (GO:0071265)	7	3	.16	+	18.31	1.27E-03	3.92E-02
purine nucleobase catabolic process (GO:0006145)	7	3	.16	+	18.31	1.27E-03	3.91E-02
positive regulation of cholesterol metabolic process (GO:0090205)	7	3	.16	+	18.31	1.27E-03	3.91E-02
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	7	3	.16	+	18.31	1.27E-03	3.90E-02
methionine metabolic process (GO:0006555)	17	7	.40	+	17.59	7.76E-07	7.95E-05
bile acid and bile salt transport (GO:0015721)	17	7	.40	+	17.59	7.76E-07	7.90E-05
epoxygenase P450 pathway (GO:0019373)	32	13	.75	+	17.36	1.51E-11	4.00E-09
sulfur amino acid biosynthetic process (GO:0000097)	15	6	.35	+	17.09	5.63E-06	4.42E-04
pentose-phosphate shunt (GO:0006098)	10	4	.23	+	17.09	2.25E-04	9.79E-03
tetrahydrofolate metabolic process (GO:0046653)	20	8	.47	+	17.09	1.47E-07	1.77E-05
homocysteine metabolic process (GO:0050667)	13	5	.30	+	16.43	4.11E-05	2.34E-03
tetrahydrobiopterin metabolic process (GO:0046146)	8	3	.19	+	16.02	1.71E-03	4.92E-02
purine ribonucleoside catabolic process (GO:0046130)	8	3	.19	+	16.02	1.71E-03	4.91E-02
purine nucleoside catabolic process (GO:0006152)	8	3	.19	+	16.02	1.71E-03	4.90E-02
deoxyribonucleoside metabolic process (GO:0009120)	8	3	.19	+	16.02	1.71E-03	4.89E-02
purine nucleobase biosynthetic process (GO:0009113)	8	3	.19	+	16.02	1.71E-03	4.88E-02
regulation of intestinal cholesterol absorption (GO:0030300)	8	3	.19	+	16.02	1.71E-03	4.87E-02
early endosome to Golgi transport (GO:0034498)	8	3	.19	+	16.02	1.71E-03	4.86E-02
tyrosine metabolic process (GO:0006570)	11	4	.26	+	15.54	3.02E-04	1.25E-02
arginine metabolic process (GO:0006525)	15	5	.35	+	14.24	7.16E-05	3.72E-03
glucose 6-phosphate metabolic process (GO:0051156)	15	5	.35	+	14.24	7.16E-05	3.70E-03
protein localization to cell junction (GO:1902414)	12	4	.28	+	14.24	3.95E-04	1.54E-02
cholesterol efflux (GO:0033344)	24	8	.56	+	14.24	4.60E-07	4.98E-05
vitamin biosynthetic process (GO:0009110)	12	4	.28	+	14.24	3.95E-04	1.53E-02
regulation of intestinal absorption (GO:1904478)	12	4	.28	+	14.24	3.95E-04	1.53E-02
methionine biosynthetic process (GO:0009086)	12	4	.28	+	14.24	3.95E-04	1.53E-02
xenobiotic catabolic process (GO:0042178)	12	4	.28	+	14.24	3.95E-04	1.52E-02
pteridine-containing compound metabolic process (GO:0042558)	31	10	.73	+	13.78	2.13E-08	3.09E-06
folic acid-containing compound metabolic process (GO:0006760)	25	8	.59	+	13.67	5.95E-07	6.26E-05
purine nucleobase metabolic process (GO:0006144)	22	7	.51	+	13.60	3.17E-06	2.77E-04
toxin metabolic process (GO:0009404)	22	7	.51	+	13.60	3.17E-06	2.75E-04
regulation of cholesterol biosynthetic process (GO:0045540)	16	5	.37	+	13.35	9.22E-05	4.54E-03
glycogen biosynthetic process (GO:0005978)	16	5	.37	+	13.35	9.22E-05	4.53E-03
glucan biosynthetic process (GO:0009250)	16	5	.37	+	13.35	9.22E-05	4.51E-03
serine family amino acid biosynthetic process (GO:0009070)	16	5	.37	+	13.35	9.22E-05	4.50E-03
regulation of cholesterol homeostasis (GO:2000188)	13	4	.30	+	13.15	5.08E-04	1.91E-02
intestinal absorption (GO:0050892)	26	8	.61	+	13.15	7.62E-07	7.87E-05
S-adenosylmethionine metabolic process (GO:0046500)	13	4	.30	+	13.15	5.08E-04	1.90E-02
cellular response to interleukin-4 (GO:0071353)	24	7	.56	+	12.46	5.13E-06	4.15E-04
arachidonic acid metabolic process (GO:0019369)	59	17	1.38	+	12.31	1.09E-12	3.63E-10
monosaccharide catabolic process (GO:0046365)	21	6	.49	+	12.21	2.73E-05	1.67E-03
nucleobase biosynthetic process (GO:0046112)	14	4	.33	+	12.21	6.41E-04	2.31E-02
amino-acid betaine metabolic process (GO:0006577)	14	4	.33	+	12.21	6.41E-04	2.31E-02
cysteine metabolic process (GO:0006534)	14	4	.33	+	12.21	6.41E-04	2.30E-02
proteasome assembly (GO:0043248)	14	4	.33	+	12.21	6.41E-04	2.30E-02
hydrogen peroxide catabolic process (GO:0042744)	14	4	.33	+	12.21	6.41E-04	2.29E-02
pteridine-containing compound biosynthetic process (GO:0042559)	14	4	.33	+	12.21	6.41E-04	2.29E-02
sulfur amino acid metabolic process (GO:0000096)	32	9	.75	+	12.02	2.92E-07	3.27E-05
porphyrin-containing compound biosynthetic process (GO:0006779)	25	7	.59	+	11.96	6.44E-06	4.92E-04
alpha-amino acid catabolic process (GO:1901606)	69	19	1.61	+	11.77	1.00E-13	3.94E-11
steroid catabolic process (GO:0006706)	22	6	.51	+	11.65	3.41E-05	1.99E-03
cellular aldehyde metabolic process (GO:0006081)	55	15	1.29	+	11.65	4.55E-11	1.11E-08
tetrapyrrole biosynthetic process (GO:0033014)	26	7	.61	+	11.50	8.01E-06	5.92E-04
response to interleukin-4 (GO:0070670)	26	7	.61	+	11.50	8.01E-06	5.89E-04
positive regulation by host of viral process (GO:0044794)	15	4	.35	+	11.39	7.97E-04	2.72E-02
cellular carbohydrate catabolic process (GO:0044275)	15	4	.35	+	11.39	7.97E-04	2.72E-02
nucleoside catabolic process (GO:0009164)	15	4	.35	+	11.39	7.97E-04	2.71E-02
monosaccharide biosynthetic process (GO:0046364)	34	9	.80	+	11.31	4.51E-07	4.91E-05
unsaturated fatty acid metabolic process (GO:0033559)	87	22	2.04	+	10.81	4.97E-15	2.18E-12
long-chain fatty acid metabolic process (GO:0001676)	91	23	2.13	+	10.80	1.20E-15	6.12E-13
regulation of cardiac conduction (GO:1903779)	16	4	.37	+	10.68	9.79E-04	3.19E-02
detoxification (GO:0098754)	28	7	.66	+	10.68	1.21E-05	8.39E-04
bile acid metabolic process (GO:0008206)	20	5	.47	+	10.68	2.23E-04	9.72E-03
porphyrin-containing compound metabolic process (GO:0006778)	37	9	.87	+	10.39	8.28E-07	8.38E-05
nucleobase metabolic process (GO:0009112)	37	9	.87	+	10.39	8.28E-07	8.32E-05
NADP metabolic process (GO:0006739)	29	7	.68	+	10.31	1.48E-05	9.86E-04
cellular amino acid catabolic process (GO:0009063)	79	19	1.85	+	10.28	7.87E-13	2.69E-10
aromatic amino acid family metabolic process (GO:0009072)	25	6	.59	+	10.26	6.29E-05	3.36E-03
purine ribonucleoside biosynthetic process (GO:0046129)	21	5	.49	+	10.17	2.71E-04	1.14E-02
aspartate family amino acid metabolic process (GO:0009066)	42	10	.98	+	10.17	2.40E-07	2.77E-05
purine nucleoside biosynthetic process (GO:0042451)	21	5	.49	+	10.17	2.71E-04	1.14E-02
hexose catabolic process (GO:0019320)	17	4	.40	+	10.05	1.19E-03	3.72E-02
one-carbon metabolic process (GO:0006730)	34	8	.80	+	10.05	4.22E-06	3.49E-04
acetyl-CoA metabolic process (GO:0006084)	26	6	.61	+	9.86	7.59E-05	3.92E-03
regulation of cholesterol metabolic process (GO:0090181)	26	6	.61	+	9.86	7.59E-05	3.90E-03
response to stilbenoid (GO:0035634)	22	5	.51	+	9.71	3.27E-04	1.34E-02
aspartate family amino acid biosynthetic process (GO:0009067)	22	5	.51	+	9.71	3.27E-04	1.34E-02
cholesterol biosynthetic process (GO:0006695)	31	7	.73	+	9.65	2.14E-05	1.37E-03
response to cadmium ion (GO:0046686)	31	7	.73	+	9.65	2.14E-05	1.37E-03
alpha-amino acid biosynthetic process (GO:1901607)	58	13	1.36	+	9.58	6.98E-09	1.18E-06
cellular detoxification (GO:1990748)	18	4	.42	+	9.50	1.43E-03	4.30E-02
hydrogen peroxide metabolic process (GO:0042743)	27	6	.63	+	9.50	9.10E-05	4.51E-03
regulation of receptor biosynthetic process (GO:0010869)	18	4	.42	+	9.50	1.43E-03	4.29E-02
secondary alcohol biosynthetic process (GO:1902653)	32	7	.75	+	9.35	2.56E-05	1.58E-03
glutamine family amino acid catabolic process (GO:0009065)	23	5	.54	+	9.29	3.90E-04	1.53E-02
acylglycerol catabolic process (GO:0046464)	23	5	.54	+	9.29	3.90E-04	1.53E-02
neutral lipid catabolic process (GO:0046461)	23	5	.54	+	9.29	3.90E-04	1.52E-02
cellular amino acid biosynthetic process (GO:0008652)	60	13	1.40	+	9.26	9.94E-09	1.61E-06
establishment of endothelial barrier (GO:0061028)	28	6	.66	+	9.16	1.08E-04	5.19E-03
positive regulation of steroid metabolic process (GO:0045940)	33	7	.77	+	9.06	3.04E-05	1.84E-03
alditol metabolic process (GO:0019400)	19	4	.44	+	9.00	1.69E-03	4.91E-02
secondary metabolite biosynthetic process (GO:0044550)	19	4	.44	+	9.00	1.69E-03	4.90E-02
COPII-coated vesicle budding (GO:0090114)	19	4	.44	+	9.00	1.69E-03	4.89E-02
plasma lipoprotein particle assembly (GO:0034377)	19	4	.44	+	9.00	1.69E-03	4.88E-02
icosanoid metabolic process (GO:0006690)	96	20	2.25	+	8.90	1.96E-12	6.04E-10
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	24	5	.56	+	8.90	4.63E-04	1.76E-02
negative regulation of RNA splicing (GO:0033119)	29	6	.68	+	8.84	1.28E-04	6.03E-03
tetrapyrrole metabolic process (GO:0033013)	44	9	1.03	+	8.74	2.89E-06	2.58E-04
cellular response to mechanical stimulus (GO:0071260)	30	6	.70	+	8.55	1.51E-04	6.97E-03
alcohol catabolic process (GO:0046164)	35	7	.82	+	8.55	4.23E-05	2.40E-03
heterotypic cell-cell adhesion (GO:0034113)	25	5	.59	+	8.55	5.45E-04	2.02E-02
regulation of cardiac muscle cell action potential (GO:0098901)	25	5	.59	+	8.55	5.45E-04	2.02E-02
secondary metabolic process (GO:0019748)	46	9	1.08	+	8.36	3.98E-06	3.36E-04
cofactor catabolic process (GO:0051187)	41	8	.96	+	8.34	1.40E-05	9.45E-04
peroxisome organization (GO:0007031)	31	6	.73	+	8.27	1.77E-04	7.90E-03
fatty acid derivative metabolic process (GO:1901568)	114	22	2.67	+	8.25	5.89E-13	2.06E-10
homotypic cell-cell adhesion (GO:0034109)	53	10	1.24	+	8.06	1.55E-06	1.47E-04
drug catabolic process (GO:0042737)	85	16	1.99	+	8.04	1.19E-09	2.26E-07
triglyceride metabolic process (GO:0006641)	64	12	1.50	+	8.01	1.48E-07	1.76E-05
glycogen metabolic process (GO:0005977)	48	9	1.12	+	8.01	5.41E-06	4.33E-04
cellular glucan metabolic process (GO:0006073)	48	9	1.12	+	8.01	5.41E-06	4.31E-04
glucan metabolic process (GO:0044042)	48	9	1.12	+	8.01	5.41E-06	4.29E-04
pigment biosynthetic process (GO:0046148)	43	8	1.01	+	7.95	1.90E-05	1.23E-03
sterol biosynthetic process (GO:0016126)	38	7	.89	+	7.87	6.71E-05	3.51E-03
terpenoid metabolic process (GO:0006721)	49	9	1.15	+	7.85	6.28E-06	4.82E-04
steroid biosynthetic process (GO:0006694)	93	17	2.18	+	7.81	5.36E-10	1.03E-07
small molecule catabolic process (GO:0044282)	241	44	5.64	+	7.80	7.99E-24	6.46E-21
negative regulation of mRNA processing (GO:0050686)	33	6	.77	+	7.77	2.39E-04	1.03E-02
protein homotetramerization (GO:0051289)	83	15	1.94	+	7.72	6.40E-09	1.11E-06
drug transmembrane transport (GO:0006855)	39	7	.91	+	7.67	7.76E-05	3.98E-03
cellular carbohydrate biosynthetic process (GO:0034637)	39	7	.91	+	7.67	7.76E-05	3.96E-03
pigment metabolic process (GO:0042440)	56	10	1.31	+	7.63	2.40E-06	2.18E-04
isoprenoid biosynthetic process (GO:0008299)	28	5	.66	+	7.63	8.58E-04	2.87E-02
organic hydroxy compound transport (GO:0015850)	103	18	2.41	+	7.47	3.17E-10	6.58E-08
monocarboxylic acid transport (GO:0015718)	103	18	2.41	+	7.47	3.17E-10	6.49E-08
carboxylic acid biosynthetic process (GO:0046394)	218	38	5.10	+	7.45	4.14E-20	2.89E-17
cholesterol transport (GO:0030301)	46	8	1.08	+	7.43	2.93E-05	1.78E-03
organic acid biosynthetic process (GO:0016053)	219	38	5.13	+	7.41	4.76E-20	3.18E-17
organic acid catabolic process (GO:0016054)	173	30	4.05	+	7.41	4.46E-16	2.45E-13
carboxylic acid catabolic process (GO:0046395)	173	30	4.05	+	7.41	4.46E-16	2.36E-13
cellular polysaccharide biosynthetic process (GO:0033692)	29	5	.68	+	7.37	9.87E-04	3.21E-02
response to zinc ion (GO:0010043)	29	5	.68	+	7.37	9.87E-04	3.21E-02
water-soluble vitamin metabolic process (GO:0006767)	29	5	.68	+	7.37	9.87E-04	3.20E-02
regulation of nitric-oxide synthase activity (GO:0050999)	29	5	.68	+	7.37	9.87E-04	3.19E-02
heme metabolic process (GO:0042168)	29	5	.68	+	7.37	9.87E-04	3.19E-02
isoprenoid metabolic process (GO:0006720)	70	12	1.64	+	7.33	3.49E-07	3.89E-05
carbohydrate catabolic process (GO:0016052)	70	12	1.64	+	7.33	3.49E-07	3.86E-05
acylglycerol metabolic process (GO:0006639)	82	14	1.92	+	7.30	3.87E-08	5.35E-06
sterol transport (GO:0015918)	47	8	1.10	+	7.27	3.36E-05	1.99E-03
xenobiotic metabolic process (GO:0006805)	53	9	1.24	+	7.26	1.10E-05	7.67E-04
neutral lipid metabolic process (GO:0006638)	84	14	1.97	+	7.12	5.06E-08	6.76E-06
positive regulation of RNA splicing (GO:0033120)	36	6	.84	+	7.12	3.62E-04	1.46E-02
organic hydroxy compound catabolic process (GO:1901616)	48	8	1.12	+	7.12	3.84E-05	2.21E-03
dicarboxylic acid metabolic process (GO:0043648)	84	14	1.97	+	7.12	5.06E-08	6.70E-06
carbohydrate biosynthetic process (GO:0016051)	91	15	2.13	+	7.04	1.92E-08	2.90E-06
alpha-amino acid metabolic process (GO:1901605)	176	29	4.12	+	7.04	4.52E-15	2.04E-12
glutamine family amino acid metabolic process (GO:0009064)	55	9	1.29	+	6.99	1.44E-05	9.65E-04
purine-containing compound catabolic process (GO:0072523)	43	7	1.01	+	6.96	1.34E-04	6.24E-03
serine family amino acid metabolic process (GO:0009069)	37	6	.87	+	6.93	4.13E-04	1.58E-02
glycerolipid catabolic process (GO:0046503)	37	6	.87	+	6.93	4.13E-04	1.58E-02
polysaccharide biosynthetic process (GO:0000271)	31	5	.73	+	6.89	1.29E-03	3.95E-02
very long-chain fatty acid metabolic process (GO:0000038)	31	5	.73	+	6.89	1.29E-03	3.94E-02
cofactor biosynthetic process (GO:0051188)	149	24	3.49	+	6.88	1.64E-12	5.15E-10
cholesterol metabolic process (GO:0008203)	100	16	2.34	+	6.84	9.43E-09	1.54E-06
sulfur compound biosynthetic process (GO:0044272)	63	10	1.47	+	6.78	6.13E-06	4.73E-04
fatty acid metabolic process (GO:0006631)	294	46	6.88	+	6.69	2.12E-22	1.55E-19
monocarboxylic acid metabolic process (GO:0032787)	435	68	10.18	+	6.68	8.97E-33	1.15E-29
positive regulation of viral genome replication (GO:0045070)	32	5	.75	+	6.68	1.46E-03	4.39E-02
cell communication involved in cardiac conduction (GO:0086065)	32	5	.75	+	6.68	1.46E-03	4.38E-02
primary alcohol metabolic process (GO:0034308)	32	5	.75	+	6.68	1.46E-03	4.37E-02
coenzyme biosynthetic process (GO:0009108)	90	14	2.11	+	6.65	1.09E-07	1.34E-05
cofactor metabolic process (GO:0051186)	394	61	9.22	+	6.62	3.12E-29	3.20E-26
platelet aggregation (GO:0070527)	39	6	.91	+	6.57	5.31E-04	1.98E-02
secondary alcohol metabolic process (GO:1902652)	104	16	2.43	+	6.57	1.55E-08	2.36E-06
glutathione metabolic process (GO:0006749)	52	8	1.22	+	6.57	6.38E-05	3.39E-03
viral life cycle (GO:0019058)	65	10	1.52	+	6.57	7.85E-06	5.83E-04
coenzyme metabolic process (GO:0006732)	254	39	5.94	+	6.56	6.72E-19	3.97E-16
energy reserve metabolic process (GO:0006112)	59	9	1.38	+	6.52	2.37E-05	1.49E-03
steroid metabolic process (GO:0008202)	210	32	4.91	+	6.51	1.22E-15	6.07E-13
fatty acid oxidation (GO:0019395)	66	10	1.54	+	6.47	8.86E-06	6.39E-04
apical junction assembly (GO:0043297)	33	5	.77	+	6.47	1.65E-03	4.83E-02
ribonucleoside biosynthetic process (GO:0042455)	33	5	.77	+	6.47	1.65E-03	4.82E-02
positive regulation of ATP metabolic process (GO:1903580)	33	5	.77	+	6.47	1.65E-03	4.81E-02
regulation of monooxygenase activity (GO:0032768)	40	6	.94	+	6.41	5.99E-04	2.19E-02
cholesterol homeostasis (GO:0042632)	67	10	1.57	+	6.38	9.97E-06	7.10E-04
sterol homeostasis (GO:0055092)	67	10	1.57	+	6.38	9.97E-06	7.06E-04
lipid oxidation (GO:0034440)	67	10	1.57	+	6.38	9.97E-06	7.03E-04
small molecule biosynthetic process (GO:0044283)	350	52	8.19	+	6.35	2.81E-24	2.54E-21
carboxylic acid metabolic process (GO:0019752)	745	110	17.44	+	6.31	2.58E-51	9.91E-48
alcohol biosynthetic process (GO:0046165)	75	11	1.76	+	6.27	4.19E-06	3.48E-04
vesicle budding from membrane (GO:0006900)	41	6	.96	+	6.25	6.73E-04	2.36E-02
long-chain fatty acid transport (GO:0015909)	41	6	.96	+	6.25	6.73E-04	2.35E-02
sterol metabolic process (GO:0016125)	110	16	2.57	+	6.22	3.14E-08	4.39E-06
cellular polysaccharide metabolic process (GO:0044264)	62	9	1.45	+	6.20	3.37E-05	2.00E-03
monocarboxylic acid biosynthetic process (GO:0072330)	131	19	3.07	+	6.20	1.68E-09	3.15E-07
organic acid metabolic process (GO:0006082)	797	114	18.65	+	6.11	5.20E-52	2.67E-48
fatty acid transport (GO:0015908)	56	8	1.31	+	6.10	1.02E-04	4.93E-03
lipid homeostasis (GO:0055088)	114	16	2.67	+	6.00	4.91E-08	6.62E-06
oxoacid metabolic process (GO:0043436)	784	110	18.35	+	6.00	2.34E-49	7.21E-46
ADP metabolic process (GO:0046031)	43	6	1.01	+	5.96	8.44E-04	2.85E-02
lipid transport (GO:0006869)	223	31	5.22	+	5.94	3.23E-14	1.31E-11
diterpenoid metabolic process (GO:0016101)	44	6	1.03	+	5.83	9.41E-04	3.09E-02
protein tetramerization (GO:0051262)	140	19	3.28	+	5.80	4.51E-09	8.15E-07
pyruvate metabolic process (GO:0006090)	59	8	1.38	+	5.79	1.41E-04	6.55E-03
oxidation-reduction process (GO:0055114)	837	113	19.59	+	5.77	2.95E-49	7.55E-46
polysaccharide metabolic process (GO:0005976)	67	9	1.57	+	5.74	5.84E-05	3.15E-03
cellular modified amino acid metabolic process (GO:0006575)	142	19	3.32	+	5.72	5.56E-09	9.71E-07
cellular response to xenobiotic stimulus (GO:0071466)	91	12	2.13	+	5.63	4.17E-06	3.49E-04
negative regulation of mRNA metabolic process (GO:1903312)	76	10	1.78	+	5.62	2.68E-05	1.65E-03
pyridine nucleotide metabolic process (GO:0019362)	99	13	2.32	+	5.61	1.74E-06	1.60E-04
digestive system process (GO:0022600)	61	8	1.43	+	5.60	1.74E-04	7.83E-03
cardiac conduction (GO:0061337)	46	6	1.08	+	5.57	1.16E-03	3.66E-02
drug metabolic process (GO:0017144)	440	57	10.30	+	5.54	7.15E-24	6.10E-21
alcohol metabolic process (GO:0006066)	224	29	5.24	+	5.53	1.10E-12	3.60E-10
cellular amino acid metabolic process (GO:0006520)	247	31	5.78	+	5.36	3.79E-13	1.39E-10
endothelial cell development (GO:0001885)	48	6	1.12	+	5.34	1.42E-03	4.30E-02
modification by host of symbiont morphology or physiology (GO:0051851)	64	8	1.50	+	5.34	2.35E-04	1.01E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	48	6	1.12	+	5.34	1.42E-03	4.29E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	48	6	1.12	+	5.34	1.42E-03	4.28E-02
nicotinamide nucleotide metabolic process (GO:0046496)	96	12	2.25	+	5.34	6.87E-06	5.17E-04
pyrimidine-containing compound metabolic process (GO:0072527)	48	6	1.12	+	5.34	1.42E-03	4.28E-02
pyridine-containing compound metabolic process (GO:0072524)	104	13	2.43	+	5.34	2.86E-06	2.57E-04
lipid localization (GO:0010876)	249	31	5.83	+	5.32	4.59E-13	1.64E-10
organic hydroxy compound biosynthetic process (GO:1901617)	145	18	3.39	+	5.30	3.98E-08	5.47E-06
organic cyclic compound catabolic process (GO:1901361)	299	37	7.00	+	5.29	2.81E-15	1.35E-12
fatty acid beta-oxidation (GO:0006635)	49	6	1.15	+	5.23	1.56E-03	4.63E-02
response to estrogen (GO:0043627)	49	6	1.15	+	5.23	1.56E-03	4.62E-02
cellular response to hydrogen peroxide (GO:0070301)	49	6	1.15	+	5.23	1.56E-03	4.61E-02
regulation of digestive system process (GO:0044058)	49	6	1.15	+	5.23	1.56E-03	4.60E-02
fatty acid biosynthetic process (GO:0006633)	90	11	2.11	+	5.22	2.00E-05	1.29E-03
purine ribonucleoside metabolic process (GO:0046128)	58	7	1.36	+	5.16	6.95E-04	2.40E-02
modification of morphology or physiology of other organism involved in symbiotic interaction (GO:0051817)	83	10	1.94	+	5.15	5.30E-05	2.90E-03
positive regulation of lipid biosynthetic process (GO:0046889)	83	10	1.94	+	5.15	5.30E-05	2.89E-03
positive regulation of DNA repair (GO:0045739)	50	6	1.17	+	5.13	1.71E-03	4.86E-02
digestion (GO:0007586)	92	11	2.15	+	5.11	2.41E-05	1.51E-03
monosaccharide metabolic process (GO:0005996)	151	18	3.53	+	5.09	6.97E-08	8.93E-06
monocarboxylic acid catabolic process (GO:0072329)	84	10	1.97	+	5.09	5.81E-05	3.15E-03
cellular carbohydrate metabolic process (GO:0044262)	126	15	2.95	+	5.09	8.72E-07	8.70E-05
chaperone-mediated protein folding (GO:0061077)	59	7	1.38	+	5.07	7.63E-04	2.62E-02
retrograde transport, endosome to Golgi (GO:0042147)	68	8	1.59	+	5.03	3.42E-04	1.39E-02
acyl-CoA metabolic process (GO:0006637)	69	8	1.61	+	4.95	3.74E-04	1.50E-02
interaction with symbiont (GO:0051702)	69	8	1.61	+	4.95	3.74E-04	1.50E-02
thioester metabolic process (GO:0035383)	69	8	1.61	+	4.95	3.74E-04	1.49E-02
fatty acid catabolic process (GO:0009062)	69	8	1.61	+	4.95	3.74E-04	1.49E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	78	9	1.83	+	4.93	1.68E-04	7.66E-03
sulfur compound metabolic process (GO:0006790)	245	28	5.73	+	4.88	3.96E-11	9.97E-09
oxidoreduction coenzyme metabolic process (GO:0006733)	115	13	2.69	+	4.83	7.78E-06	5.80E-04
interaction with host (GO:0051701)	62	7	1.45	+	4.82	9.96E-04	3.21E-02
purine nucleoside metabolic process (GO:0042278)	62	7	1.45	+	4.82	9.96E-04	3.20E-02
organic hydroxy compound metabolic process (GO:1901615)	355	40	8.31	+	4.81	3.55E-15	1.65E-12
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	116	13	2.71	+	4.79	8.47E-06	6.17E-04
cell junction organization (GO:0034330)	146	16	3.42	+	4.68	1.03E-06	1.02E-04
modification of morphology or physiology of other organism (GO:0035821)	101	11	2.36	+	4.65	5.27E-05	2.89E-03
regulation of oxidoreductase activity (GO:0051341)	74	8	1.73	+	4.62	5.74E-04	2.10E-02
cellular hormone metabolic process (GO:0034754)	74	8	1.73	+	4.62	5.74E-04	2.10E-02
regulation of cardiac muscle contraction (GO:0055117)	65	7	1.52	+	4.60	1.28E-03	3.94E-02
nucleoside metabolic process (GO:0009116)	93	10	2.18	+	4.59	1.26E-04	5.96E-03
organic acid transport (GO:0015849)	206	22	4.82	+	4.56	1.54E-08	2.38E-06
carboxylic acid transport (GO:0046942)	206	22	4.82	+	4.56	1.54E-08	2.36E-06
small molecule metabolic process (GO:0044281)	1481	158	34.66	+	4.56	9.42E-58	1.45E-53
cell-cell junction organization (GO:0045216)	132	14	3.09	+	4.53	6.87E-06	5.20E-04
viral process (GO:0016032)	123	13	2.88	+	4.52	1.51E-05	1.00E-03
ER to Golgi vesicle-mediated transport (GO:0006888)	76	8	1.78	+	4.50	6.74E-04	2.35E-02
lipid modification (GO:0030258)	152	16	3.56	+	4.50	1.68E-06	1.56E-04
regulation of RNA splicing (GO:0043484)	115	12	2.69	+	4.46	3.58E-05	2.08E-03
